yp6475	Kim Hyo-jin
yp20538	Walker Edmiston
yp964830	Jack Sullivan
yp86926	Harry Lachman
yp1003253	Rob Weiss
yp17913	Susumu Kurobe
yp22401	Balachandra Menon
yp5972	Gilda Radner
yp1957	Norma Talmadge
yp91210	B. A. Rolfe
yp13117	Susannah Melvoin
yp24499	Garson Kanin
yp1157820	Chandraprakash Dwivedi
yp11251	Jessica Dunphy
yp9906	Peter Elliott (actor)
yp616	Leslie Nielsen
yp1012019	Juno Ruddell
yp1747	Lance Henriksen
yp18935	Akashdeep Saighal
yp88784	Imtiaz Ali (director)
yp1181544	James Hiroyuki Liao
yp11443	Ingrid Caven
yp15644	Anja Kling
yp15895	Crauford Kent
yp22817	Ant (comedian)
yp3330	Bernie Casey
yp13711	Melinda Page Hamilton
yp982314	Brittney Rogers
yp4014	Rosamund Pike
yp1064164	Harjant Gill
yp18429	Yuri Vizbor
yp1032206	Mario Fenech
yp936	Joseph Pilato
yp21132	Harry Piel
yp3434	Charley Chase
yp18062	Betty Garrett
yp7812	Lizabeth Scott
yp89011	Frunze Dovlatyan
yp2096	Jane Fonda
yp10228	Robert Morgan (actor)
yp18025	Illya Woloshyn
yp11872	A. K. Hangal
yp89899	Christine Vachon
yp5745	Matthew Goode
yp969992	Jelynn Rodriguez
yp22658	Sean Marquette
yp14007	Norman Bird
yp5152	Dan Hennessey
yp12162	Ze'ev Revach
yp29800	Shu Kei
yp18418	Michael Gaston
yp16033	Louise Lorraine
yp1086791	Alex Reymundo
yp13881	Alexandra Powers
yp11869	Hiroki Narimiya
yp86717	Zhou Xiaowen
yp3050	Yukie Nakama
yp21438	Matheson Lang
yp2246	Pruitt Taylor Vince
yp11327	Reed Hadley
yp18049	Gregg Barton
yp15344	Maria Montez
yp12344	Thom Bray
yp1020929	Andrew Kavadas
yp61272	Dave Christiano
yp1674	Gail Strickland
yp87889	Marion Lipschutz
yp14006	Marc Sinden
yp14464	Bernard Palanca
yp9007	Kevin Gage (actor)
yp9693	Nicky Jones
yp10968	Jude Ciccolella
yp3424	Matt Craven
yp6814	Bill Bellamy
yp24769	Daisy von Scherler Mayer
yp12594	Adrian Scarborough
yp22072	Howard Ashman
yp1134120	Dan Watchorn
yp15618	Moses Chan
yp89212	S. Roy Luby
yp9111	Nina Axelrod
yp37064	Etan Cohen
yp1671	Robert Wagner
yp13528	Beth Broderick
yp60913	Karl Hartl
yp87061	J. Michael Muro
yp86724	Busby Berkeley
yp14613	Joanna Canton
yp86851	Kang Woo-suk
yp16808	Marguerite Clayton
yp6593	Carrie Ng
yp8647	Don DeFore
yp20302	Constance Carpenter
yp24708	Tad Stones
yp15371	Felipe de Alba
yp21262	Peter Marshall (U.S. entertainer)
yp13927	Lois Ramsey
yp18477	Roman Tkachuk
yp138	Vincent D'Onofrio
yp21342	Marko Matvere
yp10091	Sally Dryer
yp87625	Glauber Rocha
yp53000	Norodom Sihanouk
yp18469	Richard Daniels
yp7421	Gina Philips
yp518	Gore Vidal
yp89315	Ted Sieger
yp5572	Callie Thorne
yp17979	Yu In-chon
yp20385	Rebel Rodriguez
yp13167	Michael Raymond-James
yp863	Errol Flynn
yp88754	Arvo Kruusement
yp1066	John Schuck
yp15710	Susan Taslimi
yp1018531	Chota K. Naidu
yp986337	Primi Townsend
yp3754	Kim Poirier
yp2260	John Ritter
yp509	Frank Sutton
yp7825	Arjun Mathur
yp2330	Hans Heinrich von Twardowski
yp8038	Janagaraj (actor)
yp10504	Chara (singer)
yp18745	Eddie Jones (actor)
yp42760	Joana Hadjithomas
yp1381	Greer Garson
yp12719	Karamana Janardanan Nair
yp6300	Chiara Mastroianni
yp21118	Yumika Hayashi
yp1198917	Adam Lewis
yp41709	Worthington Miner
yp959006	Mary Schneider
yp4012	Akkineni Nagarjuna
yp16960	Philip Jackson (actor)
yp4623	Carol Marsh
yp52626	Eytan Fox
yp1588	Edith Evans
yp3319	Rosalind Cash
yp17098	Ken Sagoes
yp18982	Roman Bohnen
yp106051	Hayward Morse
yp5509	Oded Fehr
yp22007	Stephanie Szostak
yp11693	Cristi Harris
yp10391	Spede Pasanen
yp3008	Shahrukh Khan
yp14450	Hannes Jaenicke
yp65688	Nat Faxon
yp1139479	Gerda Stevenson
yp22524	Sousuke Takaoka
yp11749	Cynthia Martells
yp37308	Kenneth Bi
yp49340	Michael Duggan
yp17546	Darry Cowl
yp2898	Jonathan Rhys Meyers
yp19675	Betty Jaynes
yp2094	Stubby Kaye
yp14805	Cathy Barry
yp14862	Joyce Bulifant
yp976300	Dan Fesman
yp15706	Matt Borlenghi
yp40347	Marcus Dunstan
yp1324793	DJ Head
yp90550	Barbara Kelly
yp20792	Rod Mullinar
yp15767	Demetri Martin
yp1100800	Madigan Shive
yp3772	Marie-Laure Dougnac
yp17030	Vittorio Mezzogiorno
yp7976	David Morrissey
yp290	Paul Langton
yp21601	Stig Henrik Hoff
yp19594	Anders Baasmo Christiansen
yp1152799	Stewart White (journalist)
yp88676	Subash Gajurel
yp7373	Kirron Kher
yp21471	Nathan Stephenson
yp4282	Craig T. Nelson
yp3418	Cynthia Stevenson
yp13826	Patrick Heusinger
yp7217	John Harron
yp27922	Robert Kurtzman
yp216	Thomas Jane
yp86472	Mimi Leder
yp13978	Barrie Gosney
yp13323	Ezra Buzzington
yp1814	George Hamilton (actor)
yp1196	Thomas Mitchell (actor)
yp24043	Ronald Shusett
yp30662	Paul Davids
yp1138809	Michael Edwards (actor)
yp1145137	Robert Alan Browne
yp11079	Brenna O'Brien
yp5179	Jessica Cauffiel
yp51487	Fred Schepisi
yp1963	Tobey Maguire
yp9578	Lisa Geoghan
yp13609	Hayley Atwell
yp6078	Alyson Court
yp1344897	Bruno Choël
yp960549	Khan Bonfils
yp3373	Orson Bean
yp1191381	Sudeep Chatterjee
yp6226	Courtland Mead
yp4527	Carol Ohmart
yp15543	Kim So-eun
yp403	Barry Corbin
yp17992	Alla Korot
yp89065	Ernst Winar
yp1934	Tom Skerritt
yp3839	Jenny O'Hara
yp5810	Timothy Reifsnyder
yp3768	Patrick Bauchau
yp41136	Bud Yorkin
yp86924	Greg Beeman
yp56166	Gustavo Fuertes
yp1528	Edward Binns
yp91044	Felipe Marino
yp6366	John Allen Nelson
yp2767	Josh Server
yp2361	Anthony Edwards
yp16023	Nadia Bjorlin
yp19790	Catherine Belkhodja
yp1020936	Dorothea Coelho
yp22155	Danny Pino
yp1787	Vincent Gardenia
yp4765	Paula Winslowe
yp2279	Phil Hartman
yp468	Gaby Hoffmann
yp1208086	David Del Valle
yp43361	William Richert
yp9549	Kuno Becker
yp3706	Zoe McLellan
yp91167	Lily Monteverde
yp17127	Catherine Bach
yp21019	Peque Gallaga
yp1056734	William Edwin Self
yp5625	Konstantin Lavronenko
yp88866	Siddharth Sinha
yp11120	Arthur English
yp1023526	Adam Kuhlman
yp3626	Pina Pellicer
yp5901	Tusshar Kapoor
yp17210	Gillian Spencer
yp12320	Silas Weir Mitchell (actor)
yp89877	Mace Neufeld
yp3620	Valentina Cortese
yp10784	Kristin Booth
yp33182	Gregg Vanzo
yp15116	Melodee Spevack
yp13557	Chace Crawford
yp6093	Francisco Bosch
yp13433	Nick Scotti
yp86892	Aisling Walsh
yp24803	Robert Benton
yp6556	Deborah Kara Unger
yp13828	Bhisham Sahni
yp11009	Jimmie Walker
yp3324	Adam Sandler
yp29453	W. D. Richter
yp7429	Lisa Vidal
yp17313	Lona Andre
yp33286	Sergei Yutkevich
yp87028	Kari Skogland
yp935954	David Moritz
yp13705	Alice Sapritch
yp86966	Hughes brothers
yp55594	John West Sinclair
yp6641	William Gargan
yp10209	Nolan North
yp62223	Guan Hu
yp19042	Touriya Haoud
yp19812	Jack Scanlon
yp53675	Luis Lucia
yp21986	Dolphy
yp23055	Hampton Fancher
yp15985	Vijeta Pandit
yp11956	Gardo Versoza
yp1038214	Pauline Goldsmith
yp86872	Arne Glimcher
yp17099	Christine Kaufmann
yp24513	Chris Claremont
yp9118	Paul Chun (actor)
yp11285	Ray Sharkey
yp4932	Bradley Whitford
yp17317	Jim Hanks
yp2382	Ann Richards (actress)
yp13615	Jason Blicker
yp13893	Stefano Satta Flores
yp40049	Piero Regnoli
yp16545	Aimee Garcia
yp8156	Priscilla Barnes
yp8358	Emraan Hashmi
yp49034	Luis Alcoriza
yp5490	Dov Tiefenbach
yp36554	David DeFalco
yp52514	John Chong
yp42736	Mike Figgis
yp23697	Ingmar Bergman
yp1258170	Nick Mennell
yp1704	Courtney Love
yp1062835	Greg Freeman
yp29734	Lorne Michaels
yp12279	Agha (actor)
yp604	Leo Burmester
yp3240	Donnie Yen
yp787	Charles Farrell
yp89614	Henry Blanke
yp9577	Nona Gaye
yp1058776	Franco Ambriz
yp21935	Tiffany Helm
yp34382	Peter Miles
yp14923	Peggy Stewart (actress)
yp18254	Charlotte Walker (actress)
yp18316	Florence Lake
yp6382	Dawn Bender
yp7684	Ann Christy
yp12608	Hayley McFarland
yp88397	James Dodson (producer)
yp2311	O. J. Simpson
yp6986	Idina Menzel
yp12577	Om Shivpuri
yp18517	Petronella Barker
yp29551	Sudhir Mishra
yp86267	John Frankenheimer
yp10645	Verna Hillie
yp89932	Jonathan Glickman
yp36536	Marco Vicario
yp47641	Gangaraju Gunnam
yp8030	Ethan Phillips
yp45448	Neeraj Kumar
yp20078	Lisa Ann
yp13257	Suzi Simpson
yp1289944	Patricia Churchill
yp9415	Pat Skipper
yp11697	Mehr Hassan
yp9648	Sriman (actor)
yp86732	Kenny Ortega
yp89271	Emmanuelle Schick Garcia
yp1022007	Michiyo Yanagisawa
yp769	Julie Newmar
yp535	Annette Bening
yp7170	Amelia Warner
yp89838	Carl Laemmle
yp943364	Randy Brooks (actor)
yp50954	Henri Decoin
yp13248	Teryl Rothery
yp4085	Johnny Haymer
yp7266	Harold Nicholas
yp45029	Kessler Twins
yp86817	Robert Alton
yp7903	Yury Yakovlev
yp20709	Karin Baal
yp91490	Matthew Robinson (producer)
yp89915	Danny Lohner
yp6403	Sally Phillips
yp27545	Ralph Bakshi
yp22873	Jimmy O'Dea
yp1103897	Ho Yi
yp6519	George Murdock (actor)
yp87710	Peter H. Hunt
yp7286	Stacia Napierkowska
yp20922	Smaro Stefanidou
yp1156	Henry Thomas
yp8521	Prem Nath
yp15735	Mary Duncan
yp22683	Adrienne Pickering
yp2618	Brett Cullen
yp4553	Fiona Shaw
yp1354834	Jeeva (Telugu actor)
yp22039	Gabby Concepcion
yp1084306	Gigi Stone
yp39536	Carl Theodor Dreyer
yp7568	Sheeri Rappaport
yp14137	Florence Gilbert
yp20695	Ed Wasser
yp21009	Qin Hao
yp23654	Mary Sweeney
yp4629	Sherman Hemsley
yp18583	Gilbert Sicotte
yp22570	Walt Dohrn
yp21697	Hossein Panahi
yp40611	Duncan Roy
yp4045	Lothaire Bluteau
yp13440	Marc Thompson (voice actor)
yp18397	Kaye Wragg
yp2107	Christy Carlson Romano
yp17818	Christine Boisson
yp2125	Conrad Janis
yp19307	Carey Wilson (writer)
yp11215	Theresa Merritt
yp18647	John Ortiz
yp86657	Marc Forster
yp13806	Rik Van Nutter
yp49719	Todd J. Greenwald
yp45959	Soce, the elemental wizard
yp1144003	David Spinozza
yp30202	Jerry Juhl
yp18109	Enzo Cannavale
yp18654	Jay Wilsey
yp3351	Alex Rocco
yp13576	Olivier Sitruk
yp9613	Marguerite Clark
yp87146	Mark Neale
yp14466	David Haskell
yp1283257	Walter Neugebauer
yp5504	Freddie Boath
yp34314	Chatrichalerm Yukol
yp51835	Ted Nicolaou
yp11204	Sergei Gerasimov (film director)
yp20032	Martha MacIsaac
yp14793	Brian Drummond
yp20030	Bob Golub
yp36037	Andrew Lloyd Webber
yp6802	Michele Placido
yp27843	Furio Scarpelli
yp5041	Cisse Cameron
yp33687	Michael Radford
yp5438	Patrick O'Neal
yp15938	Maria Michi
yp7514	John Franklin (actor)
yp18823	Mae Costello
yp30633	Coleman Francis
yp19289	Tiffany Haddish
yp1288386	Anna-Jane Casey
yp40191	Anthony Mann
yp21405	Fathali Oveisi
yp1385351	Saya Yūki
yp971382	Disco Machine
yp10124	James Madio
yp7681	Dexter Fletcher
yp6977	Will Sasso
yp91425	Nari Hira
yp89554	Denise Di Novi
yp25765	Dore Schary
yp19322	Sergio Carlo
yp15320	Suzanna Hamilton
yp12060	Bashar Rahal
yp10345	Sydney Penny
yp22134	Al Bridge
yp7706	Lane Garrison
yp1682	Kristin Scott Thomas
yp15814	Carol Mansell
yp5173	Kallie Flynn Childress
yp20464	Josh Randall
yp16080	Juan Villegas
yp1033213	Michelle Arthur
yp16728	Patsy Garrett
yp46948	Rick Kalowski
yp10422	Clyde Beatty
yp8403	Barclay Hope
yp20844	Nick Gomez
yp5540	Arch Hall, Jr.
yp20216	Piero Lulli
yp86796	Colin Low (filmmaker)
yp62349	Nick Lyon
yp9168	John Gilbert (actor)
yp14348	Jacqueline Gadsden
yp86410	Stuart Heisler
yp8069	Nicole Sullivan
yp59467	Bent Christensen (director)
yp1036304	Donald Douglas (actor)
yp6351	Tarra Steele
yp8718	Stephanie Courtney
yp1077485	Richard Penn (actor)
yp8520	Kara Hui
yp15445	Poppy Montgomery
yp86352	Sobey Martin
yp12378	Judson Pearce Morgan
yp21350	Darien Sills-Evans
yp2848	Joan Hackett
yp82267	Rolf Hansen (director)
yp21868	Alex Kendrick
yp6868	Deborah Shelton
yp1199358	Margarita Cadenas
yp10298	Dany Verissimo
yp18766	Sophan Sophiaan
yp18557	Tempestt Bledsoe
yp9900	Tim DeKay
yp19207	Tricia Leigh Fisher
yp16329	Marc Wallice
yp20954	Igo Sym
yp12908	James C. Morton
yp17916	Jill Marie Jones
yp12713	Jezebelle Bond
yp976743	Fleur Bennett
yp1696	Dennis Christopher
yp1001	Oliver Platt
yp20144	Will Rogers, Jr.
yp14597	Carol Drinkwater
yp4747	Najwa Nimri
yp44896	M. S. Raju
yp1134302	Randi Kiger
yp13419	Harry Treadaway
yp1271150	Leon Ford
yp88332	Tiffany Shlain
yp13666	I. M. Vijayan
yp1087769	Eileen Grubba
yp19250	Sapeta Taito
yp44937	Sekhar Kammula
yp7774	Harold Sakata
yp7025	Ron Lester
yp12207	Lina Basquette
yp1515	Patricia Arquette
yp973947	Raphael Ravenscroft
yp49539	Helmy Halim
yp33592	Gerry O'Hara
yp1031264	Barbara Assoon
yp4353	Marian Mercer
yp14424	Phillip Rhee
yp11197	Paul Kelly (actor)
yp6146	David Bradley (actor)
yp29251	Norman Gimbel
yp8312	Diana Hyland
yp4335	Rita Hayworth
yp8275	Tony Ganios
yp17844	Park Si-yeon
yp275	Ally Sheedy
yp91233	Far Shariat
yp4376	Michael Hitchcock
yp1036836	Rigg Kennedy
yp7785	Simon Yam
yp6237	Kat Dennings
yp12630	Kate Hodge
yp11583	Betty Blythe
yp1098149	David Gurfinkel
yp28359	Herschel Weingrod
yp88188	Brian Smrz
yp10094	Ashutosh Rana
yp2384	Bart the Bear
yp36628	Michael McGruther
yp7117	Sienna Guillory
yp7243	Isabel Jeans
yp14669	Stephen Adly Guirgis
yp1039133	Debra Drimmer
yp19809	Joseph O'Conor
yp16630	Charles Robinson (actor)
yp1214180	Joanna Kirkland
yp609	Talia Shire
yp4118	Matt Stone
yp22394	Long John Baldry
yp1606	Rex Harrison
yp1146303	Susan Blackwell
yp16996	Finesse Mitchell
yp86718	Pradip Krishen
yp17312	Edward Dillon (actor)
yp13283	Raine Brown
yp14752	Birgitte Reimer
yp8579	Chiaki Kuriyama
yp15849	Homayoun Ershadi
yp88606	Don Mischer
yp15412	Walter Riml
yp1238	Shirley Temple
yp4703	Kelly Chen
yp17499	Mae Hotely
yp715	Ronny Cox
yp86659	Darrell Van Citters
yp14342	Jeanne Carmen
yp1677	Peter Finch
yp44414	James Komack
yp5207	John Emery (actor)
yp17104	Elina Salo
yp14612	Mather Zickel
yp1210726	Richard W. Haines
yp6063	Jack Gwillim
yp27190	David Odell
yp1180566	David Frazee
yp5513	Shunji Iwai
yp4924	Jon Pertwee
yp16878	Caroline Paterson
yp31753	Otto Messmer
yp4546	Isabel Jewell
yp104067	Mary Ward (actress)
yp9766	Iron Eyes Cody
yp50532	Angela Robinson
yp21829	Mikheil Gelovani
yp88026	Geoffrey Reeve
yp12082	Mitchell Anderson
yp1214842	Julian Wastall
yp20998	Raoul Walsh
yp11551	Nina Landis
yp17031	Lyubov Polishchuk
yp54998	Antony Balch
yp20970	Sophie Winkleman
yp17206	Tara Lipinski
yp9895	Nadine Velazquez
yp18178	Teri Harrison
yp1250274	Cornelius Booth
yp45117	Matt Wayne
yp120789	Philip Michael
yp1070051	Anthony Hardwood
yp20833	Daniel Amalm
yp13476	Michael Shaowanasai
yp5156	Cree Summer
yp1119981	Julie Eckersley
yp4324	Max Pomeranc
yp22427	Iris Bahr
yp3606	Samy Naceri
yp8387	Adam LaVorgna
yp16931	Modesto Cid
yp10621	Bruno Putzulu
yp12307	Tuncel Kurtiz
yp4683	Uma Dasgupta
yp1126549	Carrie Barton
yp1050158	Byron Wong
yp24467	Lynn Reynolds
yp57762	Lynne Littman
yp15545	Kimberly Page
yp12300	Fernando Allende
yp2306	Brenda Vaccaro
yp86819	Harry Bromley Davenport
yp269	Dustin Hoffman
yp89620	Jon Davison
yp18285	Chermarn Boonyasak
yp9132	William Boyett
yp1896	Bruce McGill
yp17216	Darshan Jariwala
yp16723	Marc Zuber
yp328	Donald Moffat
yp1030599	Kurt Paul
yp873	W. C. Fields
yp21998	Dieter Borsche
yp1040716	Olivia Cheng (Canadian actress)
yp6104	Aldo Ray
yp6213	Peri Gilpin
yp14035	Dominique Dunne
yp59708	Will Tremper
yp3897	Alberta Watson
yp3315	David Spade
yp3183	Bill Moseley
yp18764	John B. O'Brien
yp6081	John Lynch (actor)
yp36761	Robin Green (producer)
yp62095	Jalal Merhi
yp19716	Michelle Fairley
yp16555	Priya Raman
yp687	Paul Freeman (actor)
yp20275	Rebecca Balding
yp16137	Pooja Gandhi
yp9143	Wayne Lai
yp9394	Mala Sinha
yp13095	Shannon Whirry
yp27893	Antonio Mercero
yp7958	Shari Shattuck
yp12527	Masaki Kaji
yp16879	Barbara Parkins
yp1238615	Jason Tompkins
yp9569	Richie Ren
yp5070	Ella Joyce
yp12696	Megumi Okina
yp15652	Mari Morrow
yp50676	Kathleen Kennedy (film producer)
yp10964	Russell Todd
yp21795	Antje Traue
yp30182	Hayden Schlossberg
yp1281518	Rod Barry
yp26943	Marvin Worth
yp3202	Alain Delon
yp6134	Mel Harris
yp6898	Sushmita Sen
yp7224	Leslie Ann Powers
yp20099	Elisabeth Risdon
yp17416	Chris Hemsworth
yp3344	Phil Harris
yp10441	Mavis Fan
yp14467	Me Me Lai
yp13660	Carol Burns
yp15273	Georgiy Zhzhonov
yp7541	Michael Hordern
yp15820	Teresa Cheung (socialite)
yp63862	Kobayashi Masahiro
yp9960	Holly Palance
yp18377	Taylor Geare
yp1030726	Hajaz Akram
yp16298	Tom Ricketts
yp2334	Ian Hendry
yp2957	Marius Weyers
yp57805	Patrick Kong
yp1056167	Marc Zumoff
yp91293	Ko Mori
yp42056	Puri Jagannadh
yp49444	Malcolm St. Clair (filmmaker)
yp18324	Sandrine Blancke
yp7499	Catherine Schell
yp32	David O'Hara
yp90394	Martin Birch
yp8100	Veronica Carlson
yp922506	Sonia Vigneault
yp5392	Kevin Anderson (actor)
yp1041383	Jim Dutcher
yp40665	Lee Eisenberg
yp87506	James Kerwin
yp985450	Philip Hyde (actor)
yp16780	Yasmine Lafitte
yp61621	Evald Schorm
yp3726	Tino Buazzelli
yp1533	Cara Williams
yp5365	Wendy Makkena
yp949738	David Julyan
yp88111	Kostas Andritsos
yp4951	Janine Turner
yp11224	Linda de Mol
yp10366	Carleton Young
yp29162	Tim Long
yp5809	Joseph Cross (actor)
yp1155706	Rachel Zeskind
yp1627	Tony Lo Bianco
yp5209	Hugh O'Brian
yp21609	Louis Del Grande
yp40100	Les Hooper
yp17006	Chelah Horsdal
yp4493	Linda Stirling
yp1002495	Lara Phillips
yp4919	Daniel Olbrychski
yp11844	Dingdong Dantes
yp19181	Kate Bell
yp3036	Coleen Gray
yp91358	Yasir Abbasi
yp87280	Bahman Ghobadi
yp89473	Pradeep Sarkar
yp88692	Dallas Campbell
yp11554	Nora Tschirner
yp1148591	Alex Price
yp8117	Zbigniew Cybulski
yp8834	Graham Faulkner
yp8581	Gordon Mitchell
yp4164	Fritz Weaver
yp3608	Marion Cotillard
yp4412	Conrad Coates
yp8310	Fred Melamed
yp60123	Silvio Amadio
yp20422	David Markham
yp17080	Guillaume Lemay-Thivierge
yp2476	Maia Morgenstern
yp34052	Brent Forrester
yp21800	Hal Williams
yp4203	Clarence Geldart
yp8537	Sohail Khan
yp22885	Nelson Xavier
yp838	Loretta Young
yp8763	Scott Shaw
yp1289	Tatsuya Nakadai
yp941258	Babar Bhatti
yp15018	Sean Maguire
yp19177	Bobby Morley
yp9624	Joshua Leonard
yp34906	Michael Wadleigh
yp988173	John Snyder (voice actor)
yp36218	Brent Fletcher
yp25091	Michael Tavera
yp5938	Brandon Hammond
yp4954	Ellen Foley
yp9303	Jessica Lowndes
yp7156	Jill St. John
yp10411	Junichi Okada
yp8216	Huntz Hall
yp1258635	Javed Khan
yp65221	Lenin Rajendran
yp1137230	Sean Donnellan
yp18636	Mary McAllister
yp21033	Hans Teeuwen
yp89169	Joy N. Houck, Jr.
yp1111675	Astrid Heppenstall Heger
yp13306	Craig Gilmore
yp933722	Stacy Burke
yp11168	Val Avery
yp15996	Anna Mouglalis
yp39149	Harry Watt (director)
yp1228630	John R. Graham (composer)
yp14485	Zbigniew Zapasiewicz
yp34511	Abbas Kiarostami
yp1334088	Ku'ualoha Taylor
yp9728	Sylvia Lopez
yp967204	Martin Higgins
yp15059	Paul Benedict
yp11692	Victor Slezak
yp1020	Ja Rule
yp1067713	Michelle Tuzee
yp2699	LL Cool J
yp20219	Hall Bartlett
yp91000	William Woollard
yp11107	Kate Hewlett
yp89182	Yermek Shinarbayev
yp118115	Paul Dawber
yp2499	Lisa Spoonhauer
yp11311	Tara Leniston
yp689	John Rhys-Davies
yp1906	Suzanna Leigh
yp565	Claudette Colbert
yp87629	Mark Buntzman
yp30220	Bob Kushell
yp1561	Reese Witherspoon
yp22033	Maurice Biraud
yp60808	James Lemmo
yp116899	Andrew Dunn (cinematographer)
yp3457	Giovanni Ribisi
yp12322	Robert Cait
yp16843	Carlos Mencia
yp21843	Maria Foka
yp25359	Marc Shaiman
yp43076	Sandy Welch
yp16136	Ganesh (actor)
yp1010232	Ludo Vika
yp19120	Beverly Roberts
yp3098	Wes Studi
yp1110692	Molly Chance
yp16679	Devika
yp5648	Binnie Barnes
yp21195	Jeff Yagher
yp9033	Roger Bowen
yp33810	Jaideep Sahni
yp84763	Jack Witikka
yp4226	Bill Travers
yp3980	Scott Thompson
yp6904	Salman Khan
yp39346	Marshall Curry
yp8725	Takao Osawa
yp2249	Amanda Donohoe
yp27979	Robert Fuest
yp87482	Jon Cassar
yp1324343	Fermín Barva
yp18022	Helen Schlesinger
yp877	Eric Blore
yp18128	Zinovy Gerdt
yp973393	Sally Gilpin
yp17686	Isabella Ferrari
yp964580	Nadine Samonte
yp15933	Rex (horse)
yp43358	Ford Riley
yp1164266	Gunilla Knutsson
yp61330	Scott Moore (screenwriter)
yp7168	Megan Ward
yp661	Randy Quaid
yp4509	Calvin Lockhart
yp86627	Alan Clarke
yp17338	Gerard Christopher
yp44065	F. R. Crawley
yp8761	Claudia Jennings
yp17643	Mary Elizabeth McDonough
yp53403	Rattana Pestonji
yp17627	Jay R. Smith
yp22723	Christian Bach
yp9489	Michael McLachlan
yp6489	Kathleen Lockhart
yp2757	Jesse Ventura
yp20116	Heinz Drache
yp18126	Jason Earles
yp15782	Maria Solomou
yp15017	Rusty Hamer
yp17143	Kimberley Nixon
yp9774	Bradley Stryker
yp998021	Danny McCarthy
yp1065861	Peter Steuger
yp8025	Arthur Godfrey
yp22879	Suzzanna
yp65096	George Terwilliger
yp22314	Sandra Dorne
yp30541	Scott Gimple
yp5269	Harold J. Stone
yp22531	Hannah Murray
yp14758	Claire Whitney
yp3023	Kurt Fuller
yp48372	Kiyoshi Kurosawa
yp22176	Johnny Legend
yp16558	Bobbi Sue Luther
yp22892	Judith Light
yp973316	Kate Frost
yp10451	Zac Efron
yp9454	Mark-Paul Gosselaar
yp41721	Matt Thompson (animator)
yp39590	John Lee Hancock
yp18217	Elizabeth Kaitan
yp1229854	Joseph Suglia
yp8442	Sheila E.
yp20516	Sarah Walker (Australian actress)
yp20204	Marcia Cross
yp12413	Prasenjit Chatterjee
yp4668	Kristine DeBell
yp16275	Otis Skinner
yp20231	Natalya Bondarchuk
yp5458	Keone Young
yp14236	Laura Oakley
yp5741	Samuel Le Bihan
yp10830	Nora Gordon
yp1205851	Deborah Hopper
yp4114	Cherie Lunghi
yp9631	Warren Keith
yp35856	Phillip Borsos
yp47997	Emanuele Crialese
yp31689	Gordon Chan
yp922341	Leopold Lummerstorfer
yp8409	Tricia Vessey
yp76112	K. Asif
yp22017	Anne Schaefer
yp19477	Christopher Richards
yp5085	Scott Caan
yp22222	Tim Seyfi
yp15738	Zia Mohyeddin
yp8773	James Craig (actor)
yp89468	Arin Paul
yp19331	Emer Kenny
yp607	Lila Kedrova
yp60	Nicole Kidman
yp18067	Nikolai Karachentsov
yp89842	Donald Kushner
yp65285	Frans Weisz
yp4079	Miho Kanno
yp1008	Brad Hunt
yp6678	Kiely Williams
yp88538	Yin Lichuan
yp14462	Glaiza de Castro
yp88749	Mark Morgenstern
yp13897	Janis Paige
yp5660	Selena Royle
yp5780	Matt McCoy (actor)
yp11321	Masato Yamanouchi
yp1983	James Franciscus
yp3614	Asia Argento
yp22706	Linsey Godfrey
yp21819	Phoebe Tonkin
yp1124301	David Moretti
yp12659	Lee Armstrong
yp17175	Jayant
yp30041	Amando de Ossorio
yp14834	Suzy Bloom
yp13800	Namrata Singh Gujral
yp12214	Paul Rhys
yp16258	Dennis Trillo
yp21971	Jay Anthony Franke
yp27840	Yuen Woo-ping
yp15854	Bekim Fehmiu
yp5711	Kari-Pekka Toivonen
yp10405	Marjorie Bransfield
yp59529	Inge Ivarson
yp19080	Akram Mohammadi
yp89784	Alexandre Trauner
yp21506	Paul Rogers (actor)
yp4813	David Thornton (actor)
yp1288923	Michelle King
yp8282	Jordan Hinson
yp18198	Julie Gibson
yp3873	Seu Jorge
yp5074	Steve Forrest (actor)
yp10701	Baard Owe
yp965854	Anna Wilson-Jones
yp34262	Pritam
yp49060	Ray Austin (director)
yp15184	Ivan Mozzhukhin
yp6119	Colleen Brennan
yp8946	Mick Molloy
yp4882	Kelly Rowland
yp1134669	Daniella Tobar
yp4280	Mimi Rogers
yp13590	John Dye
yp1031095	Alec Smight
yp19567	Adrianne Palicki
yp53720	Irving Thalberg
yp14523	Tano Cimarosa
yp27018	Bob Mosher
yp32584	Steve O'Donnell (writer)
yp960740	Joe Seely
yp13278	Andra Martin
yp1278020	Suja Karthika
yp44377	Ronald Parker
yp17525	Jillian Murray
yp11065	Cherilee Taylor
yp997915	Blaine Thurier
yp61522	Bobby Downes
yp9368	Maya Maron
yp24470	Clifford Odets
yp87155	Susan Stroman
yp8311	Robert Reed
yp86652	Jay Roach
yp49477	Aaron Zelman
yp1166	Buster Crabbe
yp16708	Sid Melton
yp8388	Eve Gordon
yp2161	Eszter Balint
yp964037	Stephanie Nadolny
yp17899	Wolf Muser
yp82	Nigel Havers
yp749	Charlie Sheen
yp15073	Keith Jayne
yp6816	Dub Taylor
yp1868	Cate Blanchett
yp1272587	Camille Keenan
yp9788	Judith Lowry
yp5911	Tim McGraw
yp12185	Osgood Perkins
